run_id,architecture_slug,architecture_label,dataset_label,stress_slug,stress_label,scenario_index,aging_light_suns,scan_light_suns,aging_temperature_C,scan_temperature_C,light_suns,temperature_C,n_timepoints,min_aging_h,max_aging_h,PCE_initial_pct,PCE_final_pct,PCE_final_retention_pct,Voc_final_V,FF_final,Jsc_final_mAcm2,valid_metric_timepoints,raw_jv_file
arch_baseline_pin__stress_light_0p01sun_temp_340k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p01sun_temp_340k,"0 sun, 340 K",13,0.01,1.0,66.85000000000002,66.85000000000002,0.01,66.85000000000002,10,0,1000,22.615386758867086,22.47223841492844,99.36703119223677,1.269370851950434,0.8592951079414572,20.602288901832424,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p20sun_temp_340k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p20sun_temp_340k,"0.2 sun, 340 K",14,0.2,1.0,66.85000000000002,66.85000000000002,0.2,66.85000000000002,10,0,1000,22.615386759656044,22.116567199710236,97.79433548828067,1.2614128066527333,0.852361501612688,20.570112057612736,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p40sun_temp_340k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p40sun_temp_340k,"0.4 sun, 340 K",15,0.4,1.0,66.85000000000002,66.85000000000002,0.4,66.85000000000002,10,0,1000,22.615386835882823,21.798976058480502,96.39002072647743,1.2544389975801402,0.846172060430703,20.536567941139964,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p60sun_temp_340k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p60sun_temp_340k,"0.6 sun, 340 K",16,0.6,1.0,66.85000000000002,66.85000000000002,0.6,66.85000000000002,10,0,1000,22.615386836671856,21.533180091629475,95.21473254975442,1.2490710016779991,0.8408067329160095,20.50335191775314,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p80sun_temp_340k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p80sun_temp_340k,"0.8 sun, 340 K",17,0.8,1.0,66.85000000000002,66.85000000000002,0.8,66.85000000000002,10,0,1000,22.61538683667239,21.27357690985501,94.0668274369663,1.2447442563810285,0.8348967612904196,20.470460395730605,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_1p00sun_temp_340k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_1p00sun_temp_340k,"1 sun, 340 K",18,1.0,1.0,66.85000000000002,66.85000000000002,1.0,66.85000000000002,10,0,1000,22.615386835884483,21.019906476114404,92.94515556444746,1.2403922334629218,0.8291550451165102,20.4378869927972,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p01sun_temp_360k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p01sun_temp_360k,"0 sun, 360 K",19,0.01,1.0,86.85000000000002,86.85000000000002,0.01,86.85000000000002,10,0,1000,22.615386871865166,22.123423683621652,97.82465278603948,1.263033218231832,0.8508889605711794,20.5856542666663,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p20sun_temp_360k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p20sun_temp_360k,"0.2 sun, 360 K",20,0.2,1.0,86.85000000000002,86.85000000000002,0.2,86.85000000000002,10,0,1000,22.615386760677307,21.21461560044637,93.80611450489744,1.244302746898497,0.8326202945183804,20.476801240011707,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p40sun_temp_360k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p40sun_temp_360k,"0.4 sun, 360 K",21,0.4,1.0,86.85000000000002,86.85000000000002,0.4,86.85000000000002,10,0,1000,22.615386836904968,20.482171837019944,90.56741759374228,1.231641029627387,0.8165606791030331,20.36589002703522,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p60sun_temp_360k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p60sun_temp_360k,"0.6 sun, 360 K",22,0.6,1.0,86.85000000000002,86.85000000000002,0.6,86.85000000000002,10,0,1000,22.615386909427425,19.83753180952479,87.71696849128564,1.2236543266318773,0.800240623869042,20.25854692218655,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
