run_id,aging_light_suns,aging_temperature_C,aging_h,time_index,Jsc_mAcm2,Voc_V,FF,PCE_pct,Vmp_V,Jmp_mAcm2,PCE_initial_pct,PCE_norm,PCE_loss_pct_abs,PCE_retention_pct
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,0,1,20.609134086845,1.2721702981013774,0.8625792848349613,22.61538683565649,1.1373333333333333,19.88457224706022,22.61538683565649,1.0,0.0,100.0
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,50,2,20.609119366641885,1.2721639934035711,0.8625724875435572,22.6150803912586,1.1373333333333333,19.88430280591319,22.61538683565649,0.9999864497388384,0.0003064443978892,99.99864497388386
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,100,3,20.60910145929379,1.2721563201728747,0.8625642024257175,22.61470711588984,1.1373333333333333,19.883974603654607,22.61538683565649,0.9999699443670104,0.0006797197666514,99.99699443670104
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,200,4,20.60906564249228,1.2721409794046743,0.8625476394855879,22.61396086502292,1.1373333333333333,19.883318462798584,22.61538683565649,0.9999369468829372,0.0014259706335693,99.99369468829371
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,300,5,20.60902996101216,1.272125646698964,0.8625310648927258,22.61321461338272,1.1373333333333333,19.882662321262647,22.61538683565649,0.9999039493646712,0.0021722222737743,99.99039493646713
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,400,6,20.60899414595656,1.2721103212130378,0.8625144905326271,22.612468362543044,1.1373333333333333,19.88200618043058,22.61538683565649,0.9998709518818026,0.0029184731134463,99.98709518818026
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,500,7,20.608958330207702,1.272095003559657,0.8624979103682746,22.61172211092705,1.1373333333333333,19.88135003891593,22.61538683565649,0.9998379543646072,0.0036647247294396,99.98379543646072
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,600,8,20.60892251445885,1.2720796936481469,0.8624813244621463,22.610975859319108,1.1373333333333333,19.88069389740836,22.61538683565649,0.9998049568477676,0.0044109763373825,99.98049568477676
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,800,9,20.60885101687047,1.2720490961306177,0.8624481362284695,22.60948350774667,1.1373333333333333,19.87938174772568,22.61538683565649,0.9997389685194104,0.0059033279098201,99.97389685194103
arch_baseline_pin__stress_light_0p01sun_temp_300k__Stress_matrix_jv_003_updated,0.01,26.850000000000023,1000,10,20.60877951894825,1.2720185298223674,0.8624149364200766,22.60799145873817,1.1373333333333333,19.878069864072245,22.61538683565649,0.999672993569729,0.0073953769183248,99.9672993569729
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,0,1,20.609134086845,1.2721703002580282,0.8625792834027444,22.61538683644497,1.1373333333333333,19.88457224775349,22.61538683644497,1.0,0.0,100.0
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,50,2,20.609049974366314,1.2721443846972966,0.8625589843045277,22.61430164104186,1.1373333333333333,19.88361809001336,22.61538683644497,0.9999520151739628,0.0010851954031103,99.99520151739628
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,100,3,20.60894751754222,1.272112829626343,0.862534216024199,22.612978930922907,1.1373333333333333,19.882455097528933,22.61538683644497,0.9998935279975764,0.0024079055220624,99.98935279975764
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,200,4,20.608742606307622,1.2720498266392417,0.8624846131735824,22.610333812909648,1.1373333333333333,19.880129378291016,22.61538683644497,0.9997765670084768,0.0050530235353214,99.97765670084767
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,300,5,20.60853769437978,1.2719869658952834,0.8624349245011049,22.607689149519512,1.1373333333333333,19.877804058780345,22.61538683644497,0.9996596261217584,0.0076976869254572,99.96596261217584
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,400,6,20.608332782451928,1.2719242463748477,0.8623851448293751,22.60504478756551,1.1373333333333333,19.87547900430731,22.61538683644497,0.9995426985638473,0.0103420488794583,99.95426985638473
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,500,7,20.608128004099573,1.2718616681575,0.8623352916477417,22.60240133328192,1.1373333333333333,19.87315474790321,22.61538683644497,0.999425811141018,0.0129855031630512,99.9425811141018
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,600,8,20.60792309217172,1.2717992295573937,0.8622853484497176,22.599758030898965,1.1373333333333333,19.870830625057707,22.61538683644497,0.9993089304348834,0.0156288055460045,99.93089304348834
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,800,9,20.607513401891502,1.2716747722340522,0.8621851978726762,22.59447263947228,1.1373333333333333,19.86618344619485,22.61538683644497,0.9990752226736626,0.0209141969726935,99.90752226736626
arch_baseline_pin__stress_light_0p20sun_temp_300k__Stress_matrix_jv_003_updated,0.2,26.850000000000023,1000,10,20.607103843466422,1.2715508699756453,0.8620847193384586,22.589189365901223,1.1373333333333333,19.86153812945594,22.61538683644497,0.9988416085591104,0.0261974705437459,99.88416085591103
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,0,1,20.60913408753825,1.2721703000789983,0.8625792892587482,22.61538698755772,1.1373333333333333,19.88457238061933,22.61538698755772,1.0,0.0,100.0
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,50,2,20.608976990393646,1.2721237608214273,0.8625447536146026,22.61348184788435,1.1373333333333333,19.88289728711989,22.61538698755772,0.9999157591389256,0.0019051396733651,99.99157591389256
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,100,3,20.608785599930243,1.2720671276327875,0.8625025937518995,22.61115987773796,1.1373333333333333,19.8808556955492,22.61538698755772,0.9998130870003646,0.0042271098197588,99.98130870003646
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,200,4,20.608402685068537,1.2719542112769098,0.8624180669275776,22.606516995718927,1.1373333333333333,19.87677344289472,22.61538698755772,0.9996077895176558,0.0088699918387895,99.96077895176558
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,300,5,20.60801977020683,1.2718417577204224,0.8623332631321643,22.60187562895772,1.1373333333333333,19.87269252253024,22.61538698755772,0.9994025590361364,0.0135113585999953,99.94025590361365
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,400,6,20.607636988227355,1.2717297632829043,0.8622481849689142,22.597235925416747,1.1373333333333333,19.868613064551653,22.61538698755772,0.9991974020983608,0.0181510621409692,99.91974020983608
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,500,7,20.60725420730053,1.2716182254876944,0.8621628282752791,22.59259758681295,1.1373333333333333,19.864534806693683,22.61538698755772,0.998992305514944,0.0227894007447666,99.8992305514944
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,600,8,20.60687142462781,1.271507138864073,0.8620772025458004,22.587960761109947,1.1373333333333333,19.860457879053296,22.61538698755772,0.9987872758284942,0.0274262264477691,99.87872758284942
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,800,9,20.60610612679272,1.271286310723774,0.8619051385950164,22.57869165441242,1.1373333333333333,19.852308019706115,22.61538698755772,0.9983774174120706,0.0366953331452961,99.83774174120708
arch_baseline_pin__stress_light_0p40sun_temp_300k__Stress_matrix_jv_003_updated,0.4,26.850000000000023,1000,10,20.605340961839858,1.2710672578553714,0.8617320015568942,22.569428302593803,1.1373333333333333,19.84416322033453,22.61538698755772,0.9979678134630552,0.0459586849639137,99.79678134630552
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,0,1,20.60913395881552,1.27217030119155,0.86257928812836,22.615386836445072,1.1373333333333333,19.88457224775358,22.615386836445072,1.0,0.0,100.0
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,50,2,20.608904008141312,1.2721031529916715,0.8625305229188621,22.61266235903088,1.1373333333333333,19.88217675178565,22.615386836445072,0.999879529922088,0.0027244774141941,99.9879529922088
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,100,3,20.60862354907661,1.2720215046550638,0.8624709375669395,22.609341279182143,1.1373333333333333,19.879256693302,22.615386836445072,0.9997326794670084,0.0060455572629294,99.97326794670084
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,200,4,20.60806263128105,1.2718589372838025,0.8623513324589702,22.60270154220052,1.1373333333333333,19.873418706506904,22.615386836445072,0.9994390856837296,0.0126852942445552,99.94390856837296
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,300,5,20.607501978916105,1.2716973348879783,0.8622311459725497,22.596065135802,1.1373333333333333,19.867583648126026,22.615386836445072,0.999145639171118,0.0193217006430721,99.9145639171118
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,400,6,20.606941327244414,1.2715366852751524,0.8621103918456988,22.58943191133057,1.1373333333333333,19.86175138745361,22.615386836445072,0.9988523333559488,0.025954925114501,99.88523333559488
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,500,7,20.60638080845494,1.2713769799327626,0.8619890703220942,22.582801867125028,1.1373333333333333,19.85592192302904,22.615386836445072,0.9985591681647676,0.0325849693200446,99.85591681647676
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,600,8,20.605820289665463,1.2712182054397825,0.861867190332963,22.57617485137786,1.1373333333333333,19.85009512137561,22.615386836445072,0.998266136884998,0.0392119850672116,99.8266136884998
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,800,9,20.604699517157723,1.2709034224134286,0.861621779636114,22.5629303626406,1.1373333333333333,19.83844990853511,22.615386836445072,0.9976804962840636,0.0524564738044723,99.76804962840636
arch_baseline_pin__stress_light_0p60sun_temp_300k__Stress_matrix_jv_003_updated,0.6,26.850000000000023,1000,10,20.60357914296281,1.2705922687165632,0.8613742061386314,22.549698592274535,1.1373333333333333,19.82681587831876,22.615386836445072,0.9970954180600318,0.0656882441705342,99.70954180600316
arch_baseline_pin__stress_light_0p80sun_temp_300k__Stress_matrix_jv_003_updated,0.8,26.850000000000023,0,1,20.609133958122268,1.2721703011938534,0.8625792881257418,22.61538683565664,1.1373333333333333,19.884572247060348,22.61538683565664,1.0,0.0,100.0
arch_baseline_pin__stress_light_0p80sun_temp_300k__Stress_matrix_jv_003_updated,0.8,26.850000000000023,50,2,20.608831026941647,1.2720825614981162,0.8625162803516172,22.611842867815355,1.1373333333333333,19.88145621437458,22.61538683565664,0.9998432939543755,0.0035439678412814,99.98432939543756
arch_baseline_pin__stress_light_0p80sun_temp_300k__Stress_matrix_jv_003_updated,0.8,26.850000000000023,100,3,20.60846163285113,1.2719759604428795,0.8624392305866829,22.60752298206743,1.1373333333333333,19.8776579560968,22.61538683565664,0.9996522786169278,0.0078638535892068,99.96522786169278
arch_baseline_pin__stress_light_0p80sun_temp_300k__Stress_matrix_jv_003_updated,0.8,26.850000000000023,200,4,20.607722845003945,1.2717640037113311,0.8622843878947887,22.5988873006589,1.1373333333333333,19.870065035749327,22.61538683565664,0.999270428796216,0.0164995349977346,99.92704287962158
