mode,case_id,tage_hours_h,PCE_pct,Vmpp_V,Jmpp_mAcm2,Voc_V,Jsc_mAcm2,FF,PCE_norm,Dmaster,Rs_ohm,Rsh_ohm,Nt_1pm3,S_mps,Qf_Cpm2,scenario_family,scenario_label,scenario_short,case_knob_short,active_Rs,active_Rsh,active_Nt,active_Qf,active_S
0,0,0.0,21.349532116645616,1.05,20.332887730138683,1.1888025451838176,21.621030851727173,0.8306197226799951,1.0,0.0,11.11111111111111,55555.55555555556,9.999999999999998e+21,10.0,0.0,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,50.0,20.862889116869784,1.03,20.25523215230076,1.1684073195087714,21.60253656458822,0.8265619936453646,0.9772059173420288,0.0487705754992859,12.216577489094924,52981.55295975991,1.5852469059914314e+22,13.90164603994288,5.8524690599143177e-05,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,100.0,20.524075253168245,1.02,20.121642405066904,1.156229681803162,21.585182270758157,0.8223633821849806,0.9613360677429654,0.0951625819640404,13.268129635629364,50533.08595189786,2.1419509835684857e+22,17.61300655712324,0.00011419509835684856,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,250.0,19.871811821471336,1.0,19.871811821471333,1.1371011881682187,21.539106228042755,0.8113545470911082,0.9307844177989201,0.2211992169285951,16.12496002815927,43881.152439879705,3.6543906031431408e+22,27.695937354287608,0.0002654390603143141,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,500.0,19.240158474913088,0.98,19.63281477031948,1.1224318304505134,21.478345605796164,0.7980826039291187,0.9011981325769706,0.3934693402873666,20.02974949095809,34789.1181515001,5.7216320834483975e+22,41.47754722298933,0.0004721632083448399,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,750.0,18.821110588710113,0.97,19.40320679248465,1.11432521945606,21.432531124500127,0.7880609789657486,0.8815701667783077,0.5276334472589853,23.070802582314776,27708.234727998,7.331601367107823e+22,52.21067578071882,0.0006331601367107824,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,1000.0,18.493396557148163,0.97,19.06535727541048,1.109280675724066,21.39764401758525,0.7791288338209237,0.8662202270338933,0.6321205588285577,25.43917711122508,22193.637172937237,8.58544670594269e+22,60.56964470628461,0.0007585446705942691,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,1500.0,17.96698608315317,0.96,18.715610503284555,1.102487249838309,21.350255624818512,0.7633058250605156,0.8415634583928342,0.7768698398515702,28.720160814413365,14554.091785611574,1.032243807821884e+23,72.14958718812562,0.0009322438078218842,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,2000.0,17.48697830884308,0.95,18.407345588255875,1.0984522547033682,21.321973468581543,0.7466312927495999,0.8190801659399827,0.8646647167633873,30.710178024414557,9920.47328193234,1.1375976601160646e+23,79.17317734107098,0.001037597660116,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,2500.0,16.995803035195415,0.95,17.89031898441623,1.0953052862840549,21.304953201969862,0.7283261799475211,0.7960737941392297,0.9179150013761012,31.917184475636077,7110.041594039107,1.2014980016513212e+23,83.4332001100881,0.0011014980016513,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,0,3000.0,16.506819978206398,0.94,17.560446785325958,1.0929386211633836,21.2946721095119,0.7092456564064308,0.7731701045259209,0.950212931632136,32.64927089477286,5405.428608303934,1.240255517958563e+23,86.01703453057088,0.0011402555179585,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True
0,1,0.0,21.349532116645616,1.05,20.332887730138683,1.1888025451838176,21.621030860046208,0.8306197223604009,1.0,0.0,11.11111111111111,55555.55555555556,9.999999999999998e+21,10.0,0.0,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,50.0,20.862889116869784,1.03,20.25523215230076,1.1684073195087714,21.60253656458822,0.8265619936453646,0.9772059173420288,0.0487705754992859,11.11111111111111,52981.55295975991,1.5852469059914314e+22,13.90164603994288,5.8524690599143177e-05,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,100.0,20.524075253168245,1.02,20.121642405066904,1.156229681803162,21.585182270758157,0.8223633821849806,0.9613360677429654,0.0951625819640404,11.11111111111111,50533.08595189786,2.1419509835684857e+22,17.61300655712324,0.00011419509835684856,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,250.0,19.871811821471336,1.0,19.871811821471333,1.1371011881682187,21.539106228042755,0.8113545470911082,0.9307844177989201,0.2211992169285951,11.11111111111111,43881.152439879705,3.6543906031431408e+22,27.695937354287608,0.0002654390603143141,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,500.0,19.240158474913088,0.98,19.63281477031948,1.1224318304505134,21.478345605796164,0.7980826039291187,0.9011981325769706,0.3934693402873666,11.11111111111111,34789.1181515001,5.7216320834483975e+22,41.47754722298933,0.0004721632083448399,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,750.0,18.821110588710113,0.97,19.40320679248465,1.11432521945606,21.432531124500127,0.7880609789657486,0.8815701667783077,0.5276334472589853,11.11111111111111,27708.234727998,7.331601367107823e+22,52.21067578071882,0.0006331601367107824,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,1000.0,18.493396557148163,0.97,19.06535727541048,1.109280675724066,21.39764401758525,0.7791288338209237,0.8662202270338933,0.6321205588285577,11.11111111111111,22193.637172937237,8.58544670594269e+22,60.56964470628461,0.0007585446705942691,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,1500.0,17.96698608248765,0.96,18.715610502591304,1.102487249838309,21.350255624818512,0.7633058250322418,0.8415634583616617,0.7768698398515702,11.11111111111111,14554.091785611574,1.032243807821884e+23,72.14958718812562,0.0009322438078218842,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
