mode,case_id,PCE0_pct,PCE_3000_pct,PCE_retention_3000,Voc_3000_V,Jsc_3000_mAcm2,FF_3000,Vmpp_3000_V,T95_h,T90_h,T85_h,T80_h,scenario_family,scenario_label,scenario_short,case_knob_short,active_Rs,active_Rsh,active_Nt,active_Qf,active_S,lifetime_class
0,0,21.349532116645616,16.506819978206398,0.7731701045259209,1.0929386211633836,21.2946721095119,0.7092456564064308,0.94,155.65690116766504,515.2605291508644,1328.9203721302506,2414.6713376891125,full_coupled,Full coupled degradation,full_coupled,all,True,True,True,True,True,monitor
0,1,21.349532116645616,16.506819978206398,0.7731701045259209,1.0929386211633836,21.2946721095119,0.7092456564064308,0.94,155.65690116766504,515.2605291508644,1328.92037171441,2414.6713376891125,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True,monitor
0,2,21.349532116645616,18.170263262884077,0.8510848464317046,1.0977673810190713,21.2946721095119,0.7772843799681851,0.95,163.58378547328118,601.744498569819,,,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True,passes_3000h_window
0,3,21.349532116645616,19.698247001733353,0.922654739884215,1.195050794596675,21.6232282497063,0.7622908050846902,1.06,2463.307197230729,,,,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True,passes_3000h_window
0,4,21.349532116645616,15.86057875338158,0.7429005313430519,1.076615905127215,21.259726855180748,0.6929478614739619,0.92,129.13058069118733,393.6706069690347,883.8121003359586,1768.0716436078303,leave_one_out,Full coupled except Qf (interfacial charge / ions),leave_out_Qf,Qf,True,True,True,False,True,monitor
0,5,21.349532116645616,16.506819978206398,0.7731701045259209,1.0929386211633836,21.2946721095119,0.7092456564064308,0.94,155.65690116766504,515.2605291508644,1328.9203721302506,2414.6713376891125,leave_one_out,Full coupled except S (surface recombination),leave_out_S,S,True,True,True,True,False,monitor
1,0,21.349532116645616,21.349532116645616,1.0,1.1888025451838176,21.621030851727195,0.8306197226799943,1.05,,,,,control,All knobs off control,all_off_control,all,False,False,False,False,False,passes_3000h_window
1,1,21.349532116645616,21.349532116645616,1.0,1.1888025451838176,21.621030851727195,0.8306197226799943,1.05,,,,,one_only,Only Rs (series resistance) active,only_Rs,Rs,True,False,False,False,False,passes_3000h_window
1,2,21.349532116645616,19.3329555255956,0.9055446939055987,1.1834572516966164,21.621030851727195,0.7555605607038828,1.04,2065.54099240353,,,,one_only,Only Rsh (shunt/leakage) active,only_Rsh,Rsh,False,True,False,False,False,passes_3000h_window
1,3,21.349532116645616,17.444115704967214,0.8170725058356918,1.0817676433806624,21.259726855180748,0.7585029794403476,0.93,134.53481359260206,423.6793340443594,1115.669081374881,,one_only,Only Nt (trap density / SRH) active,only_Nt,Nt,False,False,True,False,False,passes_3000h_window
1,4,21.349532116645616,21.783139309861067,1.0203099154982127,1.1999589469176368,21.6232282497063,0.839524835076989,1.06,,,,,one_only,Only Qf (interfacial charge / ions) active,only_Qf,Qf,False,False,False,True,False,passes_3000h_window
1,5,21.349532116645616,21.349532116645616,1.0,1.1888025451838176,21.621030851727195,0.8306197226799943,1.05,,,,,one_only,Only S (surface recombination) active,only_S,S,False,False,False,False,True,passes_3000h_window
