metric,n,mae,rmse,r2,source
Jsc_mAcm2,360,0.008207328021855512,0.018792972846221494,0.9981977941308127,extracted from predicted curve
Voc_V,360,0.0005524020101377924,0.0012877805622238836,0.998019825700746,extracted from predicted curve
FF,360,0.0011862419116774072,0.0023923789422772256,0.9979052604595707,extracted from predicted curve
PCE_pct,360,0.03772910600156124,0.07767084128979149,0.9986521044162988,extracted from predicted curve
