target,n_held_out,MAE,RMSE,R2,coverage_95,mean_predicted_sd,max_abs_error
PCE_pct,360,0.02622443579246901,0.07035969037747436,0.9988939160990633,0.9111111111111111,0.03851998825030385,0.7097215794802061
Voc_V,360,0.00039528887931121996,0.0007718210280780222,0.9992886998477406,0.925,0.0005612603537466525,0.004225580446528321
Jsc_mAcm2,360,0.005175609526273778,0.01141378834488602,0.999335227482585,0.9583333333333334,0.011946197975289053,0.10189739898898864
FF,360,0.0006912416297221933,0.001773989974990666,0.9988482123675976,0.9111111111111111,0.001100122899998524,0.01880351021577542
PCE_retention_pct,360,0.11595836903274562,0.31111501406289865,0.9988939106143647,0.9111111111111111,0.17032611413120613,3.1382382543330607
